S1 S2 S3 S4
97.624 14.446 44.559 29.09
47.806 16.648 34.813 51.567
79.997 41.107 49.107 54.831
50.367 22.347 35.018 24.552
71.359 20.187 71.189 49.567
65.379 46.709 43.144 12.221
46.653 20.098 50.444 24.879
96.02 12.546 52.415 10.964
99.895 24.256 64.889 22.382
96.427 27.12 43.405 152.054
97.47 23.786 36.565 21.97
85.453 45.771 74.658 22.191
87.812 57.202 44.191 30.818
84.933 22.776 61.319 18.707
96.083 19.344 53.607 16.744
97.036 16.568 54.364 80.552
81.411 21.7 51.419 50.325
73.035 46.79 54.678 28.777
85.62 46.385 46.843 52.545
55.885 50.595 51.076 88.549
50.298 18.051 52.642 45.765
83.731 51.657 56.237 85.958
81.5 26.695 42.254 31.006
77.606 20.694 53.506 18.949
93.18 48.909 47.444 23.139
85.952 20.431 50.892 12.026
99.477 19.631 42.026 57.061
93.523 23.066 52.757 17.622
62.451 21.75 38.694 117.41
95.775 56.95 53.006 116.804
69.101 51.859 47.661 43.544
77.876 53.704 57.009 37.772
85.751 20.364 59.328 103.486
57.066 19.496 53.793 69.479
48.817 17.613 56.367 62.477
85.1 16.43 65.587 91.339
85.624 20.661 35.631 34.037
65.135 24.32 58.835 128.443
58.081 56.117 53.68 52.037
74.008 27.286 46.789 34.422
91.035 47.564 45.822 31.689
61.626 22.504 29.724 26.098
76.228 16.478 49.558 27.501
90.11 22.346 53.687 26.694
51.695 52.167 53.436 12.056
88.116 51.078 40.019 33.047
71.384 15.558 47.161 15.183
66.388 51.064 48.502 12.115
62.748 43.926 49.967 36.29
92.961 52.238 42.171 61.666
70.895 46.015 43.285 36.453
88.304 43.167 32.315 17.842
72.15 19.384 29.308 30.609
95.776 43.247 89.862 45.993
75.05 20.152 49.662 50.725
71.498 48.83 35.297 39.832
96.647 17.761 47.704 26.407
86.928 45.863 50.718 41.718
75.211 44.366 60.857 58.219
33.053 50.855 52.672 67.904
73.698 54.785 39.023 15.861
33.362 49.905 54.812 34.184
71.38 42.535 49.851 11.398
84.597 17.519 59.916 40.195
86.708 23.166 45.338 113.12
61.354 12.097 45.634 130.533
47.783 56.016 34.288 65.37
99.579 15.318 44.546 59.253
93.645 21.966 37.4 22.693
96.29 20.633 51.879 11.99
35.42 26.021 42.122 59.266
84.955 50.804 55.402 33.759
96.929 59.359 54.472 43.553
81.644 52.258 44.368 90.728
78.362 54.482 54.857 16.388
82.207 56.429 68.273 38.641
64.152 16.125 61.048 19.467
70.451 56.574 64.927 15.397
86.118 50.951 33.951 10.167
86.732 22.677 51.758 80.165
20.993 49.164 67.909 24.663
75.866 44.866 51.956 12.184
98.716 53.88 60.663 37.611
34.768 47.703 58.916 44.377
76.557 18.999 56.506 52.855
84.003 26.297 51.6 56.483
60.007 17.855 46.813 115.167
68.021 49.848 62.364 68.599
94.464 21.15 44.833 64.237
93.131 52.02 41.777 11.707
74.281 51.327 50.595 78.962
92.004 13.252 45.712 82.536
90.504 58.143 48.412 10.844
75.898 52.339 56.827 77.42
84.375 45.258 40.667 152.483
91.476 24.553 53.786 75.491
80.769 22.752 44.042 46.081
58.088 21.008 62.41 90.345
77.161 52.892 56.69 43.661
95.204 49.694 38.46 45.1
74.499 27.877 58.612 22.51
51.857 59.712 57.781 99.172
94.075 17.184 41.344 29.054
84.895 47.062 29.919 21.946
99.971 47.344 43.852 27.898
91.737 19.814 41.645 41.877
92.62 17.589 59.43 118.934
82.899 11.117 55.765 28.327
72.187 23.542 39.019 23.232
53.14 18.996 64.117 16.365
95.877 54.284 46.291 56.795
93.021 49.331 45.244 41.512
97.994 41.861 48.841 41.103
62.62 53.582 66.653 70.829
72.058 49.973 35.18 165.137
96.483 26.417 58.782 12.334
94.846 50.441 60.525 120.524
95.67 48.959 52.358 55.518
91.521 45.658 61.238 20.759
88.043 9.434 58.06 26.327
95.801 56.141 55.615 15.541
64.221 47.935 51.603 30.539
88.41 16.192 35.141 30.279
55.585 26.371 63.662 39.724
88.645 19.287 44.257 28.593
75.966 25.597 55.79 29.025
57.271 52.314 65.331 12.201
88.404 19.826 57.93 15.589
96.138 56.163 45.164 80.526
92.298 46.573 60.584 61.362
61.182 51.849 65.071 104.369
78.588 24.063 53.685 63.578
94.272 22.913 58.275 26.752
94.354 19.026 54.312 46.734
86.495 20.176 48.406 100.046
88.023 45.108 51.147 94.313
91.25 23.535 70.482 79.645
83.514 55.835 55.396 42.232
45.556 52.012 49.561 33.912
92.953 50.884 55.087 114.301
50.514 45.117 55.305 58.226
98.016 21.394 34.86 53.486
96.053 23.136 55.063 51.481
72.35 16.331 39.149 14.291
91.872 15.379 47.005 35.562
73.163 21.205 53.987 72.212
91.698 21.503 51.551 10.608
91.524 40.414 51.044 12.982
77.703 53.405 52.054 47.194
90.225 31.222 42.286 14.34
68.469 22.987 53.634 12.208
99.239 50.483 32.661 65.628
93.71 49.502 57.687 83.972
84.821 20.624 33.259 121.629
86.149 45.772 71.369 91.695
78.018 49.101 45.363 35.206
97.219 23.17 42.477 32.228
63.076 20.563 50.63 53.54
85.749 15.741 49.879 32.184
93.538 44.801 40.851 84.862
52.871 54.106 66.259 105.459
71.373 52.886 37.142 31.288
93.614 20.228 45.705 44.324
86.284 20.447 40.813 25.686
87.57 13.361 70.155 35.494
84.879 52.289 51.785 22.023
71.234 25.246 45.914 21.446
93.331 43.4 53.285 14.951
62.916 21.739 64.085 16.569
97.105 17.142 52.211 80.429
91.043 22.75 55.382 50.889
78.952 22.372 42.106 32.939
88.439 24.684 42.597 13.858
98.787 51.995 48.4 26.895
73.434 19.812 47.393 17.73
96.33 25.281 43.531 72.441
99.903 56.654 53.141 30.206
23.281 22.273 38.154 33.397
71.606 26.46 68.349 86.583
89.161 47.428 73.742 18.559
84.507 55.134 44.643 11.084
76.619 22.416 48.819 17.808
90.769 16.035 33.883 10.744
64.698 22.021 47.282 57.988
98.18 19.225 37.84 15.104
75.551 53.383 34.085 82.025
69.854 52.578 38.54 88.899
65.049 40.517 63.759 35.629
98.528 52.632 59.069 66.062
84.678 16.189 50.241 15.983
39.772 47.055 33.434 39.793
23.64 53.538 63.878 21.429
69.458 53.26 51.511 109.087
72.615 21.122 46.391 31.878
92.273 19.166 46.086 63.014
62.631 19.039 59.526 18.354
61.341 52.23 44.701 33.613
76.173 19.002 58.765 19.105
89.729 50.368 61.029 76.803
92.993 49.705 53.375 40.349
53.771 20.121 55.006 50.303
87.066 20.459 51.523 44.362
80.984 19.216 50.547 47.715
55.008 48.16 24.766 33.497
97.55 25.866 51.956 12.37
54.403 17.97 50.201 126.717
62.18 16.162 51.259 33.345
99.282 52.51 39.905 39.004
92.871 15.022 36.741 51.038
90.07 46.75 41.53 82.518
94.536 47.369 54.824 46.52
59.937 48.654 42.693 12.076
86.756 49.657 56.8 76.275
80.299 49.364 52.008 35.118
95.171 48.392 45.65 27.649
69.761 48.171 57.908 17.48
87.817 50.66 55.461 21.774
94.3 53.693 62.404 37.501
95.469 56.746 45.906 64.23
43.431 48.746 45.915 69.244
69.212 49.837 53.756 12.229
82.08 22.866 40.929 69.415
52.462 55.317 48.074 33.345
60.983 50.701 41.3 43.013
64.678 24.292 48.161 23.351
93.312 47.654 66.935 19.967
68.444 18.725 55.887 23.248
91.177 22.589 48.092 46.274
90.339 12.485 61.7 38.681
68.627 50.277 43.75 50.971
30.8 18.095 42.119 13.343
90.249 52.882 37.293 80.491
96.239 25.218 54.476 15.879
70.728 25.447 52.238 39.326
32.54 21.999 19.464 148.334
73.836 26.252 39.427 52.216
84.091 54 37.682 29.321
84.778 23.836 48.898 27.915
25.966 46.803 59.653 68.263
87.112 48.253 51.575 38.865
82.178 26.73 55.131 61.232
82.409 15.905 42.577 27.902
70.211 25.804 39.475 29.764
80.64 18.909 51.369 102.461
53.501 45.332 64.743 84.127
76.28 54.174 50.61 53.506
67.724 49.295 45.486 59.791
98.648 18.06 42.441 25.428
98.037 16.313 63.786 39.927
81.791 16.857 46.071 28.121
97.835 44.709 54.008 84.07
97.992 28.667 41.185 63.464
70.838 23.431 53.134 34.592
85.889 19.7 56.542 80.52
96.925 47.731 52.1 69.246
74.683 18.463 33.792 29.4
87.362 61.088 30.488 120.659
88.124 46.895 51.316 34.527
80.616 56.308 38.349 10.97
72.566 50.305 56.146 52.393
59.271 52.836 32.248 34.566
62.147 25.676 61.408 58.154
62.533 51.026 49.909 53.755
64.758 24.542 54.277 60.965
46.268 23.412 38.274 16.084
74.85 16.444 38.607 33.212
48.189 18.781 36.367 100.141
79.499 48.743 58.485 96.672
46.411 55.188 39.671 101.397
55.165 52.95 55.147 39.951
43.497 53.507 50.324 43.058
78.257 47.54 62.12 10.655
57.386 52.547 50.831 146.174
89.375 22.499 42.657 92.894
84.86 51.012 42.695 25.547
83.364 15.605 47.911 18.951
86.119 42.206 52.902 45.514
75.186 21.193 40.821 28.975
65.442 13.539 39.352 58.004
86.967 45.531 55.136 122.595
86.07 55.756 52.976 10.414
96.083 21.136 44.407 18.987
67.769 50.797 57.965 24.195
85.65 17.879 56.807 18.324
95.82 17.175 42.881 108.903
82.558 53.102 41.071 64.96
84.701 48.8 57.068 51.159
89.187 50.916 58.252 60.959
99.509 49.215 51.741 29.431
77.991 22.138 57.966 50.355
91.028 49.861 42.96 28.926
74.666 44.774 47.489 83.257
94.757 53.511 42.849 37.629
91.694 26.4 51.913 26.26
89.579 20.622 52.963 42.941
99.382 23.434 54.234 77.099
80.185 52.584 65.453 40.396
95.945 10.045 40.305 79.675
82.481 56.324 49.804 31.214
96.253 16.13 48.54 175.962
87.279 20.975 55.67 98.428
69.84 25.601 54.56 93.955
85.733 15.603 49.263 49.167
51.197 22.26 45.646 68.399
98.277 51.336 68.754 57.482
68.261 45.807 54.155 26.164
99.806 22.767 63.364 38.268
97.381 47.324 37.834 20.283
53.588 18.714 54.487 22.659
96.944 45.052 58.636 106.955
91.947 47.186 37.346 54.179
41.552 15.686 41.918 117.388
96.91 53.027 48.887 116.698
96.343 53.372 35.66 56.171
98.936 22.438 51.273 41.279
95.856 52.393 46.757 16.722
71.721 55.008 69.04 149.916
83.044 20.918 61.468 145.296
59.494 20.077 58.887 56.459
35.605 45.015 56.318 48.82
76.07 51.607 42.527 84.709
81.647 12.236 43.512 18.688
43.586 54.465 41.565 100.16
65.675 53.193 56.899 37.093
91.52 53.076 37.171 12.927
95.261 53.19 51.33 127.57
87.079 10.215 47.702 31.569
93.083 49.038 61.419 22.487
92.545 15.771 58.276 18.09
65.492 18.587 47.063 58.21
96.588 18.071 36.301 93.949
85.007 50.859 49.687 66.962
93.138 24.932 46.08 19.047
71.994 44.79 53.499 19.022
81.996 48.091 45.503 31.816
93.336 56.129 56.506 131.754
76.124 53.778 45.382 23.589
51.524 46.171 56.389 21.836
84.756 52.089 53.144 62.849
72.935 25.762 48.68 39.743
86.079 54.564 62.289 46.554
83.624 64.402 50.881 66.248
80.172 46.456 52.563 62.274
81.099 20.678 54.702 61.691
90.122 20.36 38.946 17.322
86.173 21.028 70.692 57.702
91.035 20.584 37.387 38.779
91.839 18.962 69.535 54.268
93.992 12.02 64.286 78.914
50.519 51.189 48.981 67.346
98.896 55.703 46.587 56.265
87.21 52.107 43.187 33.375
63.769 50.351 59.063 26.991
82.78 48.073 42.852 17.718
57.49 16.403 46.671 97.867
89.748 21.383 53.002 37.011
82.865 46.33 56.01 63.03
75.372 50.064 40.1 120.745
90.517 18.081 43.52 11.759
82.884 53.945 50.845 17.354
91.907 52.195 44.613 16.122
48.793 18.154 60.677 51.806
42.153 49.028 67.542 51.94
60.127 51.005 50.655 43.627
98.14 46.556 65.958 29.542
59.41 50.594 59.11 25.244
93.4 24.732 55.491 29.252
70.401 19.94 75.979 18.914
74.206 17.948 37.22 19.474
57.928 19.342 60.269 31.148
84.453 48.964 64.124 29.885
77.818 22.008 36.19 78.993
99.678 17.797 54.91 36.517
53.251 17.964 48.783 44.096
99.408 24.126 59.878 26.208
40.345 16.323 46.144 16.365
88.012 56.034 39.984 27.542
98.642 24.85 33.613 31.52
64.934 25.586 41.372 17.271
76.881 47.795 41.641 15.637
62.693 19.764 50.331 123.174
93.421 47.494 50.641 33.238
55.413 15.023 53.459 15.254
90.79 21.98 44.936 51.092
51.757 44.595 54.388 34.286
63.453 23.622 51.682 38.851
54.429 52.301 53.154 57.322
90.4 21.306 46.779 33.534
79.627 22.961 48.487 71.803
76.134 15.199 41.658 28.122
75.554 47.547 33.412 38.924
75.538 15.909 47.769 94.543
63.666 10.957 39.535 27.644
99.118 48.127 38.005 21.352
77.764 26.103 39.395 127.324
94.497 49.379 56.891 52.829
93.832 23.543 60.881 61.569
62.508 18.284 54.44 51.269
50.107 50.808 46.423 14.937
74.884 51.415 53.274 99.167
94.576 47.457 44.329 127.195
96.101 16.496 59.805 11.739
57.96 24.334 61.119 32.264
78.792 20.257 49.136 91.197
78.145 24.016 50.869 13.341
71.386 28.881 58.645 17.576
88.592 19.958 53.134 165.867
46.832 56.902 52.881 76.437
66.45 47.62 44.487 10.211
80.593 50.753 62.038 16.393
90.952 21.92 49.118 33.709
75.202 28.543 41.633 60.065
87.146 21.441 57.198 14.721
98.588 52.865 46.432 105.36
45.257 16.579 61.213 87.813
48.464 16.398 40.445 101.696
77.092 20.601 62.931 88.429
89.931 24.042 49.898 79.829
66.396 26.52 64.068 101.604
98.317 24.801 61.119 39.465
64.569 53.974 73.876 69.818
81.023 50.334 63.576 77.126
97.518 48.257 58.232 103.577
97.792 23.886 50.876 51.166
70.918 51.677 50.995 29.266
97.811 59.636 31.715 76.901
68.183 49.051 45.843 11.961
40.281 44.432 66.246 44.35
97.282 21.988 51.47 24.593
95.943 47.63 55.534 73.501
70.437 15.593 59.536 112.72
92.355 25.515 39.259 50.156
89.668 27.102 51.096 33.595
97.197 19.638 54.951 115.091
66.174 27.556 40.782 11.791
90.363 16.701 78.934 14.415
90.536 51.552 55.936 65.998
73.25 47.137 50.223 44.194
82.88 51.308 57.205 31.866
51.754 13.401 30.998 105.369
87.064 53.096 60.967 12.774
76.498 22.587 38.86 83.088
57.265 46.839 28.719 23.559
98.293 19.61 42.004 46.978
96.964 53.639 38.915 34.719
74.377 52.065 53.423 79.322
93.127 20.431 49.357 23.764
57.911 52.076 51.668 106.674
77.323 40.704 36.348 30.888
84.269 46.769 55.697 24.293
99.402 19.501 56.268 38.231
67.453 24.636 37.822 173.987
99.083 54.974 48.783 40.076
93.103 25.8 51.82 12.05
99.838 18.761 55.73 17.945
90.245 63.097 53.18 104.82
88.093 43.883 55.167 103.845
97.455 26.866 54.843 17.155
96.499 59.631 23.503 79.373
75.123 23.473 39.952 15.858
33.34 19.329 49.673 91.558
92.809 54.122 54.207 52.147
56.341 26.819 44.935 82.05
52.856 21.407 63.78 34.038
70.125 28.249 59.518 101.588
79.409 21.052 46.391 38.961
81.312 19.515 36.992 27.869
74.404 51.627 73.104 104.467
70.218 47.101 50.457 34.129
95.105 21.299 67.305 73.154
65.928 26.889 58.803 67.342
77.826 7.383 58.532 54.574
79.279 54.428 54.452 36.705
76.49 49.3 35.94 38.328
86.234 20.943 45.233 83.582
89.856 10.728 51.817 87.433
78.231 47.24 52.84 18.352
90.994 24.736 53.325 74.872
88.816 48.838 48.003 52.634
97.726 48.62 66.872 60.422
58.183 43.19 30.854 53.121
94.981 48.162 42.611 86.32
80.087 16.141 39.832 18.957
71.966 27.852 62.552 101.027
97.916 40.889 36.527 82.721
91.205 21.897 54.508 46.233
91.669 55.913 65.788 37.912
94.519 13.99 42.777 18.713
88.704 22.226 60.169 19.172
61.919 26.177 40.553 11.571
62.827 51.64 48.911 51.754
93.528 19.362 53.758 82.072
91.783 49.722 47.846 30.612
98.254 15.283 50.095 17.895
82.079 22.266 48.554 37.67
93.263 27.174 40.328 24.479
90.503 17.406 64.497 81.279
87.35 46.588 35.547 27.163
71.469 17.291 55.296 19.719
78.644 49.975 52.691 47.579
49.168 46.224 44.227 24.109
84.894 14.723 61.439 77.192
84.316 22.071 66.076 41.455
84.116 54.869 46.842 43.008
94.28 25.287 54.23 59.354
97.615 22.698 21.942 14.135
87.52 23.843 44.753 47.716
79.385 11.332 55.402 14.264
79.411 19.607 64.733 13.642
98.13 20.148 35.085 13.587
66.24 45.817 40.956 55.914
71.822 18.177 50.135 53.299
50.502 18.437 39.559 66.65
69.088 21.217 45.243 65.819
88.727 56.468 42.095 19.297
79.981 57.386 48.894 74.084
82.724 22.279 52.298 42.01
88.306 21.695 59.322 35.107
90.813 61.083 53.126 40.003
95.298 45.394 50.166 39.66
91.629 15.571 48.72 17.308
93.981 14.852 47.105 13.137
55.782 17.237 52.34 123.032
97.69 25.065 52.053 12.748
96.198 46.945 41.986 117.337
78.687 55.611 50.735 57.511
77.793 16.162 54.452 148.826
98.147 47.106 52.215 113.765
95.864 24.274 44.284 82.516
73.62 19.52 45.603 161.088
66.897 19.495 46.953 58.595
65.818 46.082 46.112 13.842
99.612 17.776 44.59 37.398
93.94 56.516 64.767 57.735
95.933 51.04 46.295 43.281
83.079 52.468 33.546 41.66
91.962 21.37 56.934 21.659
49.351 14.156 45.502 15.538
78.398 50.116 55.326 55.831
98.952 51.16 59.761 59.159
91.423 50.814 52.842 72.951
80.036 49.917 59.05 35.869
45.289 55.855 41.401 29.35
95.09 49.684 56.559 28.652
96.72 50.305 63.13 25.541
89.879 47.416 50.199 17.227
82.343 24.95 56.726 32.284
82.662 44.72 41.892 35.459
59.794 49.058 46.86 50.554
79.747 20.737 50.728 39.632
92.64 27.721 44.376 13.396
99.72 43.432 64.339 16.769
78.125 51.852 52.219 65.768
76.794 18.631 49.526 11.261
58.95 18.032 40.505 15.858
82.095 18.631 48.927 10.14
98.675 26.845 69.204 114.596
60.795 51.68 50.951 38.434
95.536 50.07 38.414 54.061
55.422 50.109 45.087 137.196
86.105 26.153 56.367 87.252
48.518 8.001 30.693 49.066
74.971 48.905 43.187 106.955
89.447 16.982 42.189 40.876
97.365 49.49 31.842 20.057
86.072 42.903 73.219 40.702
80.958 48.544 62.319 10.254
99.981 50.108 52.48 90.52
98.069 32.474 66.991 13.334
92.138 48.756 60.53 24.067
68.958 49.739 67.581 47.792
92.646 49.209 64.65 59.017
94.814 43.844 54.758 34.652
52.978 21.869 41.96 65.697
84.35 52.47 56.782 52.484
74.196 22.353 50.621 30.983
77.755 14.215 30.146 114.042
89.546 57.078 50.732 11.624
96.303 41.644 40.939 24.676
26.252 19.084 38.018 39.417
41.484 19.096 54.953 61.864
72.341 24.435 52.433 87.494
97.485 20.781 33.285 48.637
25.776 19.734 40.302 36.88
96.345 21.296 44.884 42.237
97.296 50.498 43.472 30.06
95.382 20.578 60.382 70.74
62.333 54.896 53.421 60.424
77.217 43.384 31.856 38.626
88.076 49.924 53.352 48.842
84.139 21.397 53.24 75.364
77.344 57.753 56.867 17.985
34.211 26.344 45.73 61.998
94.557 21.466 40.592 27.949
57.167 44.283 47.726 39.887
58.939 57.697 50.062 45.333
70.716 43.28 49.338 112.359
88.41 54.917 36.637 16.722
84.328 8.947 58.133 28.585
9.976 24.889 64.532 19.427
79.228 45.32 39.021 48.676
76.011 46.745 33.529 31.644
33.579 48.349 21.251 39.753
62.933 47.765 35.542 43.425
54.308 51.204 40.213 22.889
73.785 51.109 26.941 79.624
91.559 50.266 51.331 46.25
86.777 16.26 21.15 19.886
99.489 49.248 50.36 30.921
97.651 15.94 57.701 38.824
74.074 24.499 34.766 61.578
45.827 41.888 35.967 81.273
70.936 19.34 46.944 73.136
81.943 49.413 40.888 57.869
83.626 16.227 60.766 10.484
93.832 46.652 59.451 54.855
54.975 21.137 40.937 79.54
72.551 50.378 51.576 113.023
94.714 47.723 52.006 37.67
81.077 51.09 71.424 37.6
76.376 43.61 57.098 30.869
76.399 49.103 46.474 35.544
73.312 32.008 45.653 20.604
89.864 12.344 40.372 24.903
64.574 56.358 61.716 85.974
95.546 51.738 37.687 56.623
73.842 20.928 46.416 21.851
94.768 13.249 59.28 13.399
89.539 48.262 55.786 52.327
95.908 23.53 32.45 106.671
94.735 49.665 45.309 35.21
94.635 19.942 57.149 77.627
84.649 16.628 40.985 69.314
68.178 56.569 54.368 74.663
85.291 18.125 44.453 91.929
87.445 48.355 58.449 23.209
95.109 52.666 42.694 68.98
46.691 52.015 48.695 26.321
64.54 19.574 38.378 25.366
82.69 24.591 69.124 116.07
77.685 55.815 53.151 29.461
88.538 18.701 49.563 46.071
94.468 23.769 35.715 17.139
94.542 43.556 34.861 10.287
